City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,San Patricio,US,71.6,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
5,Cabo San Lucas,MX,77.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
7,Bambous Virieux,MU,73.99,light rain,-20.3428,57.7575,Casa Tia Villa
9,Kapaa,US,78.8,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
10,Faanui,PF,81.32,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
13,Avarua,CK,80.6,scattered clouds,-21.2078,-159.775,Paradise Inn
18,Benito Juarez,MX,71.6,scattered clouds,19.385,-99.165,Hotel Novit
20,Rikitea,PF,77.99,light rain,-23.1203,-134.9692,Pension Maro'i
27,Toamasina,MG,71.6,light rain,-18.1667,49.3833,Hotel H1
32,Rockport,US,71.6,mist,28.0206,-97.0544,Holiday Inn Express & Suites Rockport - Bay View
38,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
44,Puerto Ayora,EC,77.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Acarau,BR,76.73,moderate rain,-2.8856,-40.12,castelo pizzaria
46,Bengkulu,ID,82.13,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
49,Kalmunai,LK,83.93,clear sky,7.4167,81.8167,VS Villa
50,Alofi,NU,81.21,light rain,-19.0595,-169.9187,Taloa Heights
51,Padang,ID,86.0,scattered clouds,-0.9492,100.3543,Mercure Padang
57,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
58,Acapulco,MX,80.6,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
62,Cap Malheureux,MU,73.99,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
63,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
64,Abu Dhabi,AE,77.0,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
67,Atuona,PF,80.17,light rain,-9.8,-139.0333,Villa Enata
69,Geraldton,AU,82.4,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
70,Garissa,KE,77.99,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
72,Santa Isabel Do Rio Negro,BR,74.37,overcast clouds,-0.4139,-65.0192,Hotel GSA
75,Mount Isa,AU,82.4,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
78,Mayumba,GA,75.49,light rain,-3.432,10.6554,LIKWALE LODGE
87,Yokadouma,CM,71.08,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
88,Santo Antonio Do Leverger,BR,73.4,clear sky,-15.8656,-56.0767,Chácara Do SINETRAN
