City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,San Patricio,US,28.017,-97.5169,71.6,88,90,13.8,overcast clouds
1,Amuntai,ID,-2.4177,115.2494,91.42,49,33,1.54,scattered clouds
2,Port Alfred,ZA,-33.5906,26.891,66.25,81,0,19.53,clear sky
3,Ribeira Grande,PT,38.5167,-28.7,56.84,74,13,35.7,few clouds
4,Aitape,PG,-3.1374,142.3475,84.34,72,100,6.04,overcast clouds
5,Cabo San Lucas,MX,22.8909,-109.9124,77.0,33,40,11.5,scattered clouds
6,Kaitangata,NZ,-46.2817,169.8464,59.0,73,100,1.01,overcast clouds
7,Bambous Virieux,MU,-20.3428,57.7575,73.99,100,75,3.44,light rain
8,Cape Town,ZA,-33.9258,18.4232,57.0,100,20,11.5,few clouds
9,Kapaa,US,22.0752,-159.319,78.8,69,40,8.05,scattered clouds
10,Faanui,PF,-16.4833,-151.75,81.32,72,11,13.56,few clouds
11,Bredasdorp,ZA,-34.5322,20.0403,55.4,94,2,8.05,clear sky
12,Jinji,CN,23.2281,110.8261,86.76,61,0,4.43,clear sky
13,Avarua,CK,-21.2078,-159.775,80.6,69,40,17.27,scattered clouds
14,Hermanus,ZA,-34.4187,19.2345,55.0,93,0,5.01,clear sky
15,Batagay-Alyta,RU,67.8006,130.4114,9.21,58,86,2.77,overcast clouds
16,Kodiak,US,57.79,-152.4072,42.8,87,90,9.22,light rain
17,Narsaq,GL,60.9167,-46.05,39.2,52,48,3.44,scattered clouds
18,Benito Juarez,MX,19.385,-99.165,71.6,28,40,6.91,scattered clouds
19,Albany,US,42.6001,-73.9662,37.0,42,11,4.0,few clouds
20,Rikitea,PF,-23.1203,-134.9692,77.99,77,100,13.85,light rain
21,Muros,ES,42.7762,-9.0603,51.01,94,100,5.88,overcast clouds
22,Palu,ID,-0.8917,119.8707,91.6,52,74,3.06,broken clouds
23,Lagoa,PT,39.05,-27.9833,56.48,78,6,38.99,clear sky
24,Calvia,ES,39.5657,2.5062,51.01,79,15,7.05,few clouds
25,Nikolskoye,RU,59.7035,30.7861,42.01,87,75,6.71,moderate rain
26,Ushuaia,AR,-54.8,-68.3,41.0,93,75,10.36,broken clouds
27,Toamasina,MG,-18.1667,49.3833,71.6,94,75,3.44,light rain
28,Jiexiu,CN,37.0244,111.9125,65.1,57,100,3.74,light rain
29,Ilulissat,GL,69.2167,-51.1,26.6,68,20,4.61,few clouds
30,Cherskiy,RU,68.75,161.3,18.3,85,94,6.04,overcast clouds
31,Dikson,RU,73.5069,80.5464,32.58,91,100,23.4,overcast clouds
32,Rockport,US,28.0206,-97.0544,71.6,88,75,12.66,mist
33,Rio Gallegos,AR,-51.6226,-69.2181,44.6,93,40,2.3,scattered clouds
34,Coquimbo,CL,-29.9533,-71.3436,59.0,82,90,2.3,overcast clouds
35,Portland,US,45.5234,-122.6762,60.8,51,40,8.05,scattered clouds
36,Guerrero Negro,MX,27.9769,-114.0611,59.67,73,0,18.28,clear sky
37,Punta Arenas,CL,-53.15,-70.9167,46.4,93,75,6.91,light rain
38,Georgetown,MY,5.4112,100.3354,82.4,83,20,2.3,few clouds
39,Saldanha,ZA,-33.0117,17.9442,57.2,94,0,3.44,clear sky
40,Lavrentiya,RU,65.5833,-171.0,33.75,73,100,0.96,overcast clouds
41,Pangnirtung,CA,66.1451,-65.7125,18.59,80,86,6.2,overcast clouds
42,Port Hawkesbury,CA,45.6169,-61.3485,34.0,75,1,16.11,clear sky
43,Mataura,NZ,-46.1927,168.8643,54.0,86,100,11.01,light rain
44,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,38,4.0,scattered clouds
45,Acarau,BR,-2.8856,-40.12,76.73,87,14,4.76,moderate rain
46,Bengkulu,ID,-3.8004,102.2655,82.13,64,77,2.3,broken clouds
47,Esperance,AU,-33.8667,121.9,66.2,68,100,11.5,overcast clouds
48,Landeck,AT,47.1301,10.5636,35.6,87,0,5.75,clear sky
49,Kalmunai,LK,7.4167,81.8167,83.93,69,7,4.36,clear sky
50,Alofi,NU,-19.0595,-169.9187,81.21,76,92,13.91,light rain
51,Padang,ID,-0.9492,100.3543,86.0,70,40,1.14,scattered clouds
52,Aklavik,CA,68.2191,-135.0107,24.8,46,94,3.44,overcast clouds
53,Diego De Almagro,CL,-26.3667,-70.05,53.82,79,13,2.33,few clouds
54,East London,ZA,-33.0153,27.9116,64.98,82,8,10.6,clear sky
55,Severo-Kurilsk,RU,50.6789,156.125,35.58,92,77,3.76,broken clouds
56,Yinchuan,CN,38.4681,106.2731,66.33,49,100,12.64,overcast clouds
57,Vaini,TO,-21.2,-175.2,86.0,79,75,4.61,light rain
58,Acapulco,MX,16.8634,-99.8901,80.6,74,1,5.75,clear sky
59,Provideniya,RU,64.3833,-173.3,41.0,48,0,13.42,clear sky
60,Sioux Lookout,CA,50.1001,-91.917,50.0,34,20,4.61,few clouds
61,Saskylakh,RU,71.9167,114.0833,10.4,92,95,7.2,overcast clouds
62,Cap Malheureux,MU,-19.9842,57.6142,73.99,83,100,5.01,light rain
63,Bathsheba,BB,13.2167,-59.5167,78.8,61,20,20.71,few clouds
64,Abu Dhabi,AE,24.4667,54.3667,77.0,69,0,5.75,clear sky
65,Kuminskiy,RU,58.6667,66.5667,44.98,58,100,9.82,overcast clouds
66,Nea Stira,GR,38.1833,24.2,57.99,68,64,4.99,broken clouds
67,Atuona,PF,-9.8,-139.0333,80.17,81,84,21.36,light rain
68,Castro,BR,-24.7911,-50.0119,51.73,95,9,3.02,clear sky
69,Geraldton,AU,-28.7667,114.6,82.4,28,100,5.75,overcast clouds
70,Garissa,KE,-0.4536,39.6401,77.99,78,100,11.01,overcast clouds
71,Fairmount,US,43.0473,-76.2385,35.6,60,20,11.5,few clouds
72,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.37,98,100,0.67,overcast clouds
73,Bethel,US,41.3712,-73.414,39.2,48,40,8.05,scattered clouds
74,Najran,SA,17.4924,44.1277,64.4,22,0,2.3,clear sky
75,Mount Isa,AU,-20.7333,139.5,82.4,18,9,12.66,clear sky
76,Ipameri,BR,-17.7219,-48.1597,62.13,55,0,1.43,clear sky
77,Kungurtug,RU,50.5994,97.5228,30.47,83,100,3.76,light snow
78,Mayumba,GA,-3.432,10.6554,75.49,88,100,4.99,light rain
79,Nokaneng,BW,-19.6667,22.2667,58.57,49,0,5.75,clear sky
80,Laela,TZ,-8.5667,32.05,58.26,94,59,3.15,broken clouds
81,Shitanjing,CN,39.2342,106.3439,62.1,39,100,18.72,overcast clouds
82,Pisco,PE,-13.7,-76.2167,66.99,82,0,5.75,clear sky
83,Del Rio,US,29.3627,-100.8968,64.4,77,1,9.22,clear sky
84,Batagay,RU,67.6333,134.6333,19.09,70,52,3.76,broken clouds
85,Hasaki,JP,35.7333,140.8333,64.99,41,20,13.8,few clouds
86,Wieliczka,PL,49.9874,20.0647,37.99,80,20,5.75,few clouds
87,Yokadouma,CM,3.5167,15.05,71.08,95,100,2.01,overcast clouds
88,Santo Antonio Do Leverger,BR,-15.8656,-56.0767,73.4,78,0,4.03,clear sky
89,Rawson,AR,-43.3002,-65.1023,56.71,58,1,5.99,clear sky
90,Victoria,HK,22.2855,114.1577,88.0,62,0,5.99,clear sky
91,Busselton,AU,-33.65,115.3333,71.67,43,63,4.88,broken clouds
92,Jamestown,US,42.097,-79.2353,32.0,86,1,13.8,clear sky
93,Santa Rosa,PH,14.3122,121.1114,89.6,58,20,8.05,few clouds
94,Ponta Do Sol,PT,32.6667,-17.1,62.01,84,100,4.0,overcast clouds
95,Barrow,US,71.2906,-156.7887,24.8,80,1,6.91,clear sky
96,Yellowknife,CA,62.456,-114.3525,14.0,57,90,16.11,light snow
97,Thompson,CA,55.7435,-97.8558,17.6,67,90,13.8,light snow
98,Amahai,ID,-3.3333,128.9167,85.53,68,49,5.64,scattered clouds
99,Bluff,NZ,-46.6,168.3333,53.01,88,100,10.0,overcast clouds
100,Givors,FR,45.5833,4.7667,46.4,76,0,1.14,clear sky
101,Tasiilaq,GL,65.6145,-37.6368,28.4,59,90,3.44,overcast clouds
102,Asahikawa,JP,43.7678,142.3703,53.6,47,0,8.05,clear sky
103,Hithadhoo,MV,-0.6,73.0833,82.98,71,87,6.24,overcast clouds
104,New Norfolk,AU,-42.7826,147.0587,55.0,64,97,1.99,overcast clouds
105,Salalah,OM,17.0151,54.0924,78.8,78,0,3.44,clear sky
106,Monduli,TZ,-3.3,36.45,59.25,94,100,4.12,overcast clouds
107,Tymovskoye,RU,50.8456,142.655,59.54,53,100,5.39,overcast clouds
108,Guarapuava,BR,-25.3953,-51.4581,49.3,96,27,3.33,scattered clouds
109,Carahue,CL,-38.7,-73.1667,41.0,100,27,2.3,mist
110,Pevek,RU,69.7008,170.3133,24.44,76,38,4.16,scattered clouds
111,Saint-Pierre,RE,-21.3393,55.4781,77.0,78,100,11.5,moderate rain
112,Luancheng,CN,37.8792,114.6517,62.6,63,20,2.24,few clouds
113,Katsuura,JP,35.1333,140.3,64.99,51,20,9.22,few clouds
114,Beringovskiy,RU,63.05,179.3167,29.21,73,85,9.08,overcast clouds
115,Namibe,AO,-15.1961,12.1522,78.91,81,31,0.81,scattered clouds
116,Awbari,LY,26.5921,12.7805,77.72,18,49,17.47,scattered clouds
117,Maumere,ID,-8.6199,122.2111,84.54,62,7,0.85,clear sky
118,Torbay,CA,47.6666,-52.7314,42.01,100,90,20.71,light rain
119,Guanay,BO,-15.4975,-67.8797,71.89,97,48,0.74,scattered clouds
120,Ponta Delgada,PT,37.7333,-25.6667,57.2,72,40,35.68,scattered clouds
121,Norman Wells,CA,65.282,-126.8329,28.4,54,75,9.22,broken clouds
122,Saint George,US,37.1041,-113.5841,70.0,17,1,4.61,clear sky
123,Kitui,KE,-1.367,38.0106,61.57,97,97,2.64,overcast clouds
124,Bardiyah,LY,31.7561,25.0865,61.5,68,100,15.39,overcast clouds
125,Zhigansk,RU,66.7697,123.3711,24.44,85,100,8.5,overcast clouds
126,Taoudenni,ML,22.6783,-3.9836,85.57,9,0,9.15,clear sky
127,Juneau,US,58.3019,-134.4197,55.4,21,20,6.91,few clouds
128,Vao,NC,-22.6667,167.4833,74.62,72,83,9.55,broken clouds
129,Chuy,UY,-33.6971,-53.4616,65.59,81,99,11.41,overcast clouds
130,Alta Floresta,BR,-9.8756,-56.0861,70.18,95,36,1.92,scattered clouds
131,Mpika,ZM,-11.8343,31.4529,57.18,97,52,6.02,broken clouds
132,Hobart,AU,-42.8794,147.3294,57.2,44,75,16.11,light rain
133,Dingle,PH,10.9995,122.6711,90.73,51,100,13.06,light rain
134,Butaritari,KI,3.0707,172.7902,82.85,73,88,9.28,overcast clouds
135,Necochea,AR,-38.5473,-58.7368,62.01,98,100,1.01,overcast clouds
136,Nanortalik,GL,60.1432,-45.2371,35.1,85,43,5.55,scattered clouds
137,Buchanan,LR,5.8808,-10.0467,74.39,85,100,6.8,light rain
138,San Anselmo,US,37.9747,-122.5616,51.8,82,75,4.61,broken clouds
139,Arman,RU,59.7,150.1667,32.4,98,100,6.46,snow
140,Verkhnevilyuysk,RU,63.4453,120.3167,30.7,86,100,11.72,light snow
141,Sisimiut,GL,66.9395,-53.6735,28.69,54,34,8.43,scattered clouds
142,Ventspils,LV,57.3894,21.5606,37.4,93,90,24.16,overcast clouds
