City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Guerrero Negro,MX,2021-04-20 17:13:09,27.9769,-114.0611,70.21,51,10,6.46
1,Awjilah,LY,2021-04-20 17:13:10,29.1081,21.2869,73.26,17,7,11.21
2,Mataura,NZ,2021-04-20 17:13:10,-46.1927,168.8643,52.0,81,33,7.0
3,Kandrian,PG,2021-04-20 17:13:11,-6.2167,149.55,77.2,90,68,6.06
4,Sydney,AU,2021-04-20 17:12:59,-33.8679,151.2073,60.01,58,3,10.36
5,Mar Del Plata,AR,2021-04-20 17:08:23,-38.0023,-57.5575,77.0,78,75,16.11
6,Yerbogachen,RU,2021-04-20 17:13:12,61.2767,108.0108,19.65,93,100,6.76
7,Punta Arenas,CL,2021-04-20 17:13:12,-53.15,-70.9167,50.0,53,40,20.71
8,Wilmington,US,2021-04-20 17:12:31,34.2257,-77.9447,71.6,33,1,11.5
9,Saint George,US,2021-04-20 17:13:13,37.1041,-113.5841,66.0,17,1,3.44
10,Lasa,IT,2021-04-20 17:13:13,46.6166,10.7002,64.4,40,0,6.91
11,Atuona,PF,2021-04-20 17:13:13,-9.8,-139.0333,80.6,71,24,18.54
12,Ipinda,TZ,2021-04-20 17:13:14,-9.4833,33.9,70.3,90,99,0.34
13,Albany,US,2021-04-20 17:11:23,42.6001,-73.9662,55.99,53,99,3.0
14,Nome,US,2021-04-20 17:09:00,64.5011,-165.4064,28.4,46,1,8.05
15,Rikitea,PF,2021-04-20 17:13:15,-23.1203,-134.9692,77.43,71,79,6.67
16,Ushuaia,AR,2021-04-20 17:08:20,-54.8,-68.3,48.2,61,20,9.22
17,Niquero,CU,2021-04-20 17:13:15,20.0431,-77.5828,87.08,51,0,8.1
18,Saskylakh,RU,2021-04-20 17:13:16,71.9167,114.0833,-16.71,100,49,1.77
19,Wanxian,CN,2021-04-20 17:13:16,30.8039,108.3897,63.32,94,98,0.87
20,Itainopolis,BR,2021-04-20 17:13:16,-7.4469,-41.4783,94.17,36,90,3.85
21,Ust-Tsilma,RU,2021-04-20 17:13:17,65.441,52.1498,32.52,91,37,2.1
22,Cape Town,ZA,2021-04-20 17:13:17,-33.9258,18.4232,64.4,68,0,8.05
23,Luwuk,ID,2021-04-20 17:13:18,-0.9516,122.7875,77.32,88,99,2.21
24,Hilo,US,2021-04-20 17:11:34,19.7297,-155.09,71.6,73,1,4.61
25,Bandarbeyla,SO,2021-04-20 17:13:18,9.4942,50.8122,82.58,77,91,11.41
26,Port Lincoln,AU,2021-04-20 17:13:19,-34.7333,135.8667,53.92,59,14,3.78
27,Clyde River,CA,2021-04-20 17:13:19,70.4692,-68.5914,6.8,78,20,2.3
28,Lebu,CL,2021-04-20 17:13:20,-37.6167,-73.65,59.7,72,100,8.48
29,Bredasdorp,ZA,2021-04-20 17:13:20,-34.5322,20.0403,60.8,82,17,8.05
30,Macau,MO,2021-04-20 17:09:09,22.2006,113.5461,75.2,88,40,8.05
31,Svetlogorsk,BY,2021-04-20 17:13:21,52.6333,29.7333,44.11,81,95,8.61
32,Cockburn Town,TC,2021-04-20 17:13:22,21.4612,-71.1419,78.89,81,4,16.51
33,Nyurba,RU,2021-04-20 17:13:22,63.2842,118.3319,-5.3,100,55,3.53
34,Longonjo,AO,2021-04-20 17:13:23,-12.9067,15.2533,70.79,55,64,2.51
35,Beringovskiy,RU,2021-04-20 17:13:23,63.05,179.3167,9.9,92,22,4.9
36,Vaini,TO,2021-04-20 17:13:23,-21.2,-175.2,73.4,94,20,3.44
37,Yellowknife,CA,2021-04-20 17:13:24,62.456,-114.3525,35.6,60,20,4.61
38,Port Hedland,AU,2021-04-20 17:13:24,-20.3167,118.5667,71.6,60,30,4.61
39,Carnarvon,AU,2021-04-20 17:13:25,-24.8667,113.6333,71.6,73,0,17.27
40,Oxapampa,PE,2021-04-20 17:13:25,-10.5775,-75.4017,72.37,67,49,5.46
41,Busselton,AU,2021-04-20 17:13:26,-33.65,115.3333,50.0,93,13,11.23
42,Jamestown,US,2021-04-20 17:13:26,42.097,-79.2353,41.0,75,90,10.36
43,Salalah,OM,2021-04-20 17:13:27,17.0151,54.0924,84.2,70,0,3.44
44,Souillac,MU,2021-04-20 17:13:27,-20.5167,57.5167,78.8,89,75,6.62
45,Kapaa,US,2021-04-20 17:13:27,22.0752,-159.319,73.4,88,75,4.61
46,Nirgua,VE,2021-04-20 17:13:28,10.1553,-68.5663,81.37,48,98,2.53
47,Bluff,NZ,2021-04-20 17:13:28,-46.6,168.3333,52.0,81,43,7.0
48,Tacuarembo,UY,2021-04-20 17:13:29,-31.7333,-55.9833,77.45,44,0,14.03
49,Apatity,RU,2021-04-20 17:13:29,67.5641,33.4031,38.21,97,89,5.82
50,Atar,MR,2021-04-20 17:13:30,20.5169,-13.0499,98.24,7,74,8.63
51,Korla,CN,2021-04-20 17:13:30,41.7597,86.1469,66.47,25,24,3.98
52,Cabo San Lucas,MX,2021-04-20 17:10:29,22.8909,-109.9124,82.4,68,1,10.36
53,Brandon,US,2021-04-20 17:13:01,27.9378,-82.2859,75.99,100,90,3.44
54,Oster,UA,2021-04-20 17:13:31,50.9506,30.8823,51.01,100,84,10.18
55,Butaritari,KI,2021-04-20 17:13:31,3.0707,172.7902,80.96,78,100,16.69
56,Pevek,RU,2021-04-20 17:13:32,69.7008,170.3133,20.68,67,79,18.84
57,Zhigansk,RU,2021-04-20 17:13:32,66.7697,123.3711,0.68,99,82,6.24
58,East London,ZA,2021-04-20 17:13:33,-33.0153,27.9116,64.4,88,40,11.5
59,Cansancao,BR,2021-04-20 17:13:33,-10.6672,-39.4992,84.58,56,77,2.19
60,Cascais,PT,2021-04-20 17:12:21,38.6979,-9.4215,63.0,67,40,13.8
61,Hounde,BF,2021-04-20 17:13:34,11.5,-3.5167,103.6,16,58,5.86
62,Tasiilaq,GL,2021-04-20 17:13:34,65.6145,-37.6368,33.82,64,100,2.33
63,Severo-Kurilsk,RU,2021-04-20 17:13:34,50.6789,156.125,34.38,97,97,16.46
64,Puerto Ayora,EC,2021-04-20 17:13:35,-0.7393,-90.3518,82.4,74,40,16.11
65,Shache,CN,2021-04-20 17:13:35,38.4167,77.2406,65.25,17,100,5.97
66,Aswan,EG,2021-04-20 17:13:36,24.0934,32.907,96.33,12,38,6.2
67,Zabol,AF,2021-04-20 17:13:36,32.25,67.25,54.61,53,66,13.53
68,Hermanus,ZA,2021-04-20 17:13:37,-34.4187,19.2345,64.99,78,38,1.99
69,Barra Do Garcas,BR,2021-04-20 17:13:37,-15.89,-52.2567,86.31,46,0,4.18
70,Pokoynoye,RU,2021-04-20 17:13:38,44.8097,44.2517,62.62,64,98,2.75
71,Ponta Do Sol,PT,2021-04-20 17:13:38,32.6667,-17.1,64.0,68,44,1.99
72,Asau,RO,2021-04-20 17:13:39,46.4333,26.4,48.0,54,100,3.85
73,Mehamn,NO,2021-04-20 17:13:39,71.0357,27.8492,42.8,56,0,28.77
74,Port Elizabeth,ZA,2021-04-20 17:13:39,-33.918,25.5701,64.4,88,0,13.8
75,Kodiak,US,2021-04-20 17:13:40,57.79,-152.4072,42.8,87,90,5.75
76,Hillsborough,US,2021-04-20 17:13:40,37.5741,-122.3794,57.0,76,90,29.93
77,Oktyabrskoye,RU,2021-04-20 17:13:41,43.0645,44.7417,75.2,35,98,4.47
78,Pisco,PE,2021-04-20 17:13:41,-13.7,-76.2167,75.2,64,0,18.41
79,Jeremie,HT,2021-04-20 17:13:41,18.65,-74.1167,84.51,57,6,3.74
80,Dekar,BW,2021-04-20 17:11:15,-21.5333,21.9333,66.94,24,0,7.72
81,Ashcroft,CA,2021-04-20 17:13:42,50.7165,-121.2859,51.8,40,1,3.44
82,Komsomolskiy,UZ,2021-04-20 17:13:42,40.4272,71.7189,55.4,76,90,13.8
83,Suez,EG,2021-04-20 17:13:43,29.9737,32.5263,70.29,49,0,17.52
84,Sisimiut,GL,2021-04-20 17:13:43,66.9395,-53.6735,26.26,61,53,7.47
85,Kaitangata,NZ,2021-04-20 17:13:44,-46.2817,169.8464,46.31,88,33,5.46
86,Sola,VU,2021-04-20 17:13:44,-13.8833,167.55,82.76,76,49,13.78
87,New Norfolk,AU,2021-04-20 17:13:45,-42.7826,147.0587,39.0,80,6,3.13
88,Longyearbyen,SJ,2021-04-20 17:13:45,78.2186,15.6401,26.6,74,75,3.44
89,Ixtapa,MX,2021-04-20 17:10:51,20.7,-105.2,80.6,61,20,6.91
90,Victoria,HK,2021-04-20 17:11:51,22.2855,114.1577,75.0,82,31,14.76
91,Nikolskoye,RU,2021-04-20 17:13:46,59.7035,30.7861,53.01,30,0,8.95
92,Roald,NO,2021-04-20 17:13:47,62.5833,6.1333,41.0,93,75,9.22
93,Ati,TD,2021-04-20 17:13:47,13.2154,18.3353,97.84,6,32,8.72
94,Ikom,NG,2021-04-20 17:13:48,5.9667,8.7063,87.21,58,94,6.69
95,Sao Joao Da Barra,BR,2021-04-20 17:13:48,-21.6403,-41.0511,84.2,54,20,5.75
96,Banda Aceh,ID,2021-04-20 17:13:48,5.5577,95.3222,81.25,78,98,7.58
97,Castro,BR,2021-04-20 17:13:49,-24.7911,-50.0119,70.65,50,31,4.92
98,Hamilton,US,2021-04-20 17:11:38,39.1834,-84.5333,61.0,51,1,5.75
99,Georgiyevka,KZ,2021-04-20 17:13:49,43.0369,74.7114,59.0,58,75,8.95
100,Sedalia,US,2021-04-20 17:13:50,38.7045,-93.2283,36.0,93,90,14.97
101,Ellsworth,US,2021-04-20 17:13:50,44.5434,-68.4195,64.99,55,1,16.11
102,Verkhnyaya Inta,RU,2021-04-20 17:13:51,65.9811,60.3094,31.03,94,90,10.78
103,Takoradi,GH,2021-04-20 17:13:52,4.8845,-1.7554,84.33,71,48,11.74
104,Yarada,IN,2021-04-20 17:13:52,17.65,83.2667,84.2,84,40,6.91
105,Lewiston,US,2021-04-20 17:13:53,44.1003,-70.2148,64.99,34,75,17.27
106,Kampene,CD,2021-04-20 17:13:53,-3.6,26.6667,69.82,99,100,2.39
107,San Carlos De Bariloche,AR,2021-04-20 17:08:56,-41.1456,-71.3082,66.0,51,20,9.22
108,Ancud,CL,2021-04-20 17:13:54,-41.8697,-73.8203,52.0,93,90,6.91
109,Bethel,US,2021-04-20 17:13:54,41.3712,-73.414,71.6,30,1,17.27
110,Bialystok,PL,2021-04-20 17:13:54,53.1333,23.15,54.0,51,100,5.14
111,Beausejour,CA,2021-04-20 17:13:55,50.0622,-96.5167,32.0,47,73,8.05
112,Pangai,TO,2021-04-20 17:13:55,-19.8,-174.35,80.83,64,54,10.85
113,Malindi,KE,2021-04-20 17:13:56,-3.2175,40.1191,80.22,79,72,21.27
114,Tuktoyaktuk,CA,2021-04-20 17:13:56,69.4541,-133.0374,19.4,86,90,16.11
115,Laizhou,CN,2021-04-20 17:13:56,37.1717,119.9214,53.58,45,92,6.82
116,Gamba,GA,2021-04-20 17:13:57,-2.65,10.0,79.57,79,100,1.88
117,Omboue,GA,2021-04-20 17:13:57,-1.5746,9.2618,81.91,75,100,2.08
118,Evensk,RU,2021-04-20 17:13:58,61.95,159.2333,26.6,83,85,15.39
119,Okhotsk,RU,2021-04-20 17:13:58,59.3833,143.3,31.82,98,100,15.39
120,Lavrentiya,RU,2021-04-20 17:13:58,65.5833,-171.0,12.56,72,77,3.15
121,Ekhabi,RU,2021-04-20 17:13:59,53.5102,142.9671,31.57,93,100,7.94
122,Port Hardy,CA,2021-04-20 17:13:59,50.6996,-127.4199,46.4,93,90,3.44
123,Rio Gallegos,AR,2021-04-20 17:14:00,-51.6226,-69.2181,51.8,43,0,12.66
124,Hithadhoo,MV,2021-04-20 17:14:00,-0.6,73.0833,82.99,65,58,5.5
125,Klaksvik,FO,2021-04-20 17:14:00,62.2266,-6.589,39.2,70,49,26.46
126,Airai,TL,2021-04-20 17:14:01,-8.9266,125.4092,57.54,92,29,0.72
127,Mukhen,RU,2021-04-20 17:14:01,48.1,136.1,32.9,55,16,5.48
128,Esperance,AU,2021-04-20 17:14:02,-33.8667,121.9,55.4,94,75,4.61
129,Kieta,PG,2021-04-20 17:14:02,-6.2167,155.6333,79.93,84,80,3.04
130,Fort Payne,US,2021-04-20 17:14:03,34.4442,-85.7197,70.0,34,1,10.36
131,Avera,US,2021-04-20 17:14:03,33.194,-82.5271,71.6,56,75,8.05
132,Hvide Sande,DK,2021-04-20 17:14:03,56.0045,8.1294,55.99,62,0,1.99
133,Gigmoto,PH,2021-04-20 17:14:04,13.7796,124.39,77.09,87,100,6.69
134,Zhezkazgan,KZ,2021-04-20 17:14:04,47.8043,67.7144,33.08,39,7,22.37
135,Cidreira,BR,2021-04-20 17:11:13,-30.1811,-50.2056,73.44,54,65,11.1
136,Fortuna,US,2021-04-20 17:14:05,40.5982,-124.1573,52.0,100,75,13.8
137,Gondanglegi,ID,2021-04-20 17:14:05,-7.7479,112.0132,74.21,81,6,7.94
138,Barrow,US,2021-04-20 17:14:06,71.2906,-156.7887,12.2,79,90,19.57
